health science,creative expression,technology,people,organization,influence,nature,things
3.916666667,3.642857143,3,3.5,3.1,3.3125,4.5,3.458333333
1.916666667,3.214285714,3.5,3.2,3.25,2.8125,2.916666667,2.75
1,1.285714286,1,1,1,1,1,1
3.166666667,3.107142857,3.3125,3.35,3.3,3.34375,3.5,3.458333333
3.333333333,2.392857143,3.5,3,2.8,3,2.583333333,2.916666667
2.833333333,2.642857143,2.9375,2.9,2.4,2.15625,3.666666667,2.791666667
2,2.75,2.25,3.2,3.55,3.78125,1.666666667,2.333333333
4.583333333,4.821428571,4.5625,4.85,4.5,4.65625,4.916666667,4.833333333
4.75,4.785714286,4.75,4.75,4.75,4.8125,4.75,4.791666667
4.583333333,4.571428571,4.625,4.6,4.55,4.5625,4.583333333,4.666666667
1.5,2.678571429,2.3125,2.5,2.3,1.90625,1.583333333,2.083333333
3.666666667,1.571428571,1.5,2.8,2,3.25,4.333333333,2.5
2,3.107142857,3.0625,3.5,2.95,3.40625,2.666666667,3.375
3.666666667,3.75,3.625,3.7,3.65,3.75,3.583333333,3.541666667
2.916666667,2.857142857,2.75,3.1,2.5,2.125,3.833333333,3.166666667
2.75,1.321428571,1.4375,1.85,1,1.03125,1.75,2
2.666666667,3.535714286,3.9375,3.85,4.55,4.25,4.5,3.875
4.083333333,3.571428571,3.6875,2.85,2.6,2.03125,4.583333333,3.375
2.833333333,3,2.75,3,2.3,2.53125,3.416666667,2.916666667
4.25,4.571428571,4.25,3.95,3.95,4.25,4.583333333,4.291666667
3.5,4.392857143,4.625,2.85,3.45,4.78125,4.666666667,5
2.75,2.964285714,4.125,3.5,2.35,3.21875,3.75,4.375
1.833333333,1.75,2.1875,2.6,2.05,2.53125,3.166666667,2.708333333
1.75,3.285714286,3.5625,3.25,2.45,2.6875,4.333333333,4.125
3.333333333,3.642857143,3.1875,3.75,3.25,3.09375,3.666666667,3.166666667
2.916666667,4.285714286,3.125,2.6,2.7,2.875,4.583333333,4.083333333
1.916666667,1.357142857,3.4375,3.25,2.85,3.28125,5,2.541666667
1,1.678571429,1.375,1.4,1,1,1.916666667,1
3.5,4.321428571,2.5,3.15,2.25,1.40625,4.75,3
5,4.928571429,3.625,4.8,2.65,3.53125,4.666666667,3.208333333
3.75,4.607142857,3.9375,3.65,2.35,3.875,5,4.791666667
1,1.607142857,1,1,1,1.09375,1.083333333,1.5
3.333333333,2.214285714,3.125,2.45,2.75,2.40625,4.5,3.666666667
4.583333333,4.392857143,2.875,4.55,3.45,3.71875,4,2.5
3,2.785714286,3,3.15,2.6,2,3.666666667,3.041666667
3,2,2.1875,2.25,1.2,1.875,4.75,2.333333333
2.833333333,2.607142857,3.1875,2.7,2.55,2,3.416666667,3.416666667
1.666666667,1.714285714,2.375,2,1.75,3.0625,1.916666667,2.791666667
1,2.178571429,1.4375,1.7,1.45,1,1.5,1.458333333
4.333333333,4,3.5,4.25,4.8,4.15625,4,3.958333333
3.416666667,4.25,3.8125,4.1,3.35,3.5,4.166666667,4.375
2.666666667,3.142857143,3.4375,3.15,1.45,2.53125,4.583333333,3.708333333
3.083333333,3.535714286,3.625,3.8,2.75,1.9375,4.583333333,3.208333333
4.166666667,4.321428571,4.5,4.35,4.1,4.3125,4.333333333,4.166666667
2.666666667,3.214285714,2.9375,3,2.5,2.96875,2.166666667,2.833333333
4.416666667,3.178571429,3.5625,3.5,2.4,2.15625,4.166666667,3.916666667
2,2.071428571,2.4375,1.95,2.05,1.75,3.25,3.25
2.833333333,1.5,1.9375,1.75,1.5,1.625,4.916666667,3.333333333
3.25,4.357142857,3.75,3.85,3.35,3.90625,3.25,3.708333333
2.583333333,2,1,2.55,2.4,1.75,5,1.916666667
3.083333333,3.178571429,3.75,4,2.95,3.0625,4.583333333,4.416666667
1.083333333,1.678571429,1,2.25,1.05,1,1.416666667,1.416666667
2.916666667,4,3.25,3.8,3,3.21875,3.416666667,3.5
2.583333333,2.035714286,1.25,4.25,2.25,1.9375,5,1.583333333
3.583333333,3,3.9375,3.2,3.95,3.125,2.416666667,4.25
1.166666667,3.571428571,2.125,1.85,1.4,2.21875,2.666666667,2.291666667
2,3.178571429,3.9375,2.45,2.7,1.5,3.916666667,3.5
3.583333333,3.892857143,3.9375,3.95,3.9,4.0625,4.25,3.75
2.833333333,2.5,2.5,2.95,4.25,1.6875,4.25,2.75
3.666666667,3.642857143,2.5625,3.35,2.85,2.6875,3.75,2.25
4.583333333,3.678571429,3.0625,2.65,4.05,3.84375,4,4.416666667
4.916666667,4.071428571,3.75,4,4.2,3.9375,4.333333333,3.916666667
3.583333333,2.464285714,3.75,3.2,3.5,1.6875,3.75,3.791666667
3.583333333,4.035714286,3.9375,3.95,3.7,3.84375,4.25,3.666666667
3.583333333,3.714285714,2.6875,3.2,3.75,3.0625,4.5,3.291666667
3,3.035714286,3,3,3.05,2.9375,3,3
3.166666667,2.607142857,3.125,3.65,3.7,2.90625,3.5,3.041666667
4.333333333,3.642857143,4.1875,3.4,4.25,3.15625,4.916666667,3.416666667
2.833333333,4.107142857,3.5625,2.55,3.25,3.5625,3.583333333,2.541666667
3.666666667,3.392857143,3.1875,3.45,3.65,3.46875,4,3.583333333
4.916666667,4.892857143,4.25,4.95,5,4.96875,5,3.958333333
3.083333333,3.357142857,3.375,3.35,3.2,2.84375,4.416666667,3.5
3.083333333,2.857142857,2.75,3.05,3,2.8125,3.333333333,3.041666667
3.333333333,2.642857143,3.125,2.4,3.8,2.375,1.666666667,1.916666667
4,4.535714286,3.1875,4.75,3.2,4,3.75,3
2.666666667,3.321428571,2.1875,3.2,1.05,1,3.416666667,1.583333333
2.333333333,4.5,3.375,4.25,4.35,3.375,2.666666667,2.791666667
1.833333333,1.964285714,1.5625,2.95,1,1.25,2.583333333,2.708333333
4.333333333,4,3.5,3.9,2.85,3.59375,3.583333333,3.375
3.333333333,2.892857143,3.8125,3.25,3,3.25,3.666666667,3.625
3,3.607142857,3,3.5,3.15,2.6875,3.583333333,3.083333333
